filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate
filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate
nano_apache2_c_1_10,Apache/2.4.7,54.187.178.32,11510,10,0.127,100,0,1178300,1151000,784.60,12.745,1.275,9028.30,nano
nano_apache2_c_1_100,Apache/2.4.7,54.187.178.32,11510,100,0.133,100,0,1178300,1151000,750.17,133.304,1.333,8632.03,nano
nano_apache2_c_1_20,Apache/2.4.7,54.187.178.32,11510,20,0.117,100,0,1178300,1151000,857.17,23.333,1.167,9863.31,nano
nano_apache2_c_1_30,Apache/2.4.7,54.187.178.32,11510,30,0.117,100,0,1178300,1151000,857.76,34.975,1.166,9870.08,nano
nano_apache2_c_1_40,Apache/2.4.7,54.187.178.32,11510,40,0.123,100,0,1178300,1151000,810.83,49.332,1.233,9330.12,nano
nano_apache2_c_1_50,Apache/2.4.7,54.187.178.32,11510,50,0.123,100,0,1178300,1151000,810.12,61.719,1.234,9321.96,nano
nano_apache2_c_1_60,Apache/2.4.7,54.187.178.32,11510,60,0.128,100,0,1178300,1151000,781.68,76.757,1.279,8994.70,nano
nano_apache2_c_1_70,Apache/2.4.7,54.187.178.32,11510,70,0.122,100,0,1178300,1151000,819.87,85.380,1.220,9434.08,nano
nano_apache2_c_1_80,Apache/2.4.7,54.187.178.32,11510,80,0.138,100,0,1178300,1151000,724.06,110.489,1.381,8331.59,nano
nano_apache2_c_1_90,Apache/2.4.7,54.187.178.32,11510,90,0.152,100,0,1178300,1151000,657.97,136.785,1.520,7571.13,nano
nano_apache2_c_2_10,Apache/2.4.7,54.187.178.32,11510,10,0.126,100,0,1178300,1151000,791.24,12.638,1.264,9104.66,nano
nano_apache2_c_2_100,Apache/2.4.7,54.187.178.32,11510,100,0.140,100,0,1178300,1151000,712.85,140.282,1.403,8202.65,nano
nano_apache2_c_2_20,Apache/2.4.7,54.187.178.32,11510,20,0.124,100,0,1178300,1151000,806.19,24.808,1.240,9276.64,nano
nano_apache2_c_2_30,Apache/2.4.7,54.187.178.32,11510,30,0.122,100,0,1178300,1151000,818.71,36.643,1.221,9420.71,nano
nano_apache2_c_2_40,Apache/2.4.7,54.187.178.32,11510,40,0.120,100,0,1178300,1151000,830.28,48.177,1.204,9553.84,nano
nano_apache2_c_2_50,Apache/2.4.7,54.187.178.32,11510,50,0.117,100,0,1178300,1151000,852.27,58.667,1.173,9806.91,nano
nano_apache2_c_2_60,Apache/2.4.7,54.187.178.32,11510,60,0.121,100,0,1178300,1151000,827.06,72.546,1.209,9516.86,nano
nano_apache2_c_2_70,Apache/2.4.7,54.187.178.32,11510,70,0.122,100,0,1178300,1151000,822.42,85.115,1.216,9463.40,nano
nano_apache2_c_2_80,Apache/2.4.7,54.187.178.32,11510,80,0.134,100,0,1178300,1151000,744.72,107.423,1.343,8569.35,nano
nano_apache2_c_2_90,Apache/2.4.7,54.187.178.32,11510,90,0.139,100,0,1178300,1151000,719.92,125.014,1.389,8284.02,nano
nano_apache2_c_3_10,Apache/2.4.7,54.187.178.32,11510,10,0.130,100,0,1178300,1151000,770.50,12.979,1.298,8866.01,nano
nano_apache2_c_3_100,Apache/2.4.7,54.187.178.32,11510,100,0.127,100,0,1178300,1151000,786.92,127.078,1.271,9054.94,nano
nano_apache2_c_3_20,Apache/2.4.7,54.187.178.32,11510,20,0.124,100,0,1178300,1151000,805.96,24.815,1.241,9274.10,nano
nano_apache2_c_3_30,Apache/2.4.7,54.187.178.32,11510,30,0.118,100,0,1178300,1151000,847.10,35.415,1.180,9747.43,nano
nano_apache2_c_3_40,Apache/2.4.7,54.187.178.32,11510,40,0.139,100,0,1178300,1151000,721.96,55.404,1.385,8307.52,nano
nano_apache2_c_3_50,Apache/2.4.7,54.187.178.32,11510,50,0.122,100,0,1178300,1151000,818.30,61.102,1.222,9416.09,nano
nano_apache2_c_3_60,Apache/2.4.7,54.187.178.32,11510,60,0.118,100,0,1178300,1151000,847.48,70.798,1.180,9751.80,nano
nano_apache2_c_3_70,Apache/2.4.7,54.187.178.32,11510,70,0.122,100,0,1178300,1151000,819.69,85.398,1.220,9432.06,nano
nano_apache2_c_3_80,Apache/2.4.7,54.187.178.32,11510,80,0.137,100,0,1178300,1151000,728.59,109.802,1.373,8383.73,nano
nano_apache2_c_3_90,Apache/2.4.7,54.187.178.32,11510,90,0.135,100,0,1178300,1151000,740.65,121.514,1.350,8522.57,nano
nano_lighttpd_c_1_10,lighttpd/1.4.33,54.187.178.32,3568,10,0.084,100,0,382600,356800,1193.92,8.376,0.838,4460.86,nano
nano_lighttpd_c_1_100,lighttpd/1.4.33,54.187.178.32,3568,100,0.087,100,0,382600,356800,1146.41,87.229,0.872,4283.36,nano
nano_lighttpd_c_1_20,lighttpd/1.4.33,54.187.178.32,3568,20,0.084,100,0,382600,356800,1191.68,16.783,0.839,4452.52,nano
nano_lighttpd_c_1_30,lighttpd/1.4.33,54.187.178.32,3568,30,0.081,100,0,382600,356800,1236.67,24.259,0.809,4620.62,nano
nano_lighttpd_c_1_40,lighttpd/1.4.33,54.187.178.32,3568,40,0.087,100,0,382600,356800,1153.43,34.679,0.867,4309.59,nano
nano_lighttpd_c_1_50,lighttpd/1.4.33,54.187.178.32,3568,50,0.081,100,0,382600,356800,1230.72,40.627,0.813,4598.39,nano
nano_lighttpd_c_1_60,lighttpd/1.4.33,54.187.178.32,3568,60,0.082,100,0,382600,356800,1212.90,49.468,0.824,4531.79,nano
nano_lighttpd_c_1_70,lighttpd/1.4.33,54.187.178.32,3568,70,0.090,100,0,382600,356800,1115.92,62.728,0.896,4169.45,nano
nano_lighttpd_c_1_80,lighttpd/1.4.33,54.187.178.32,3568,80,0.096,100,0,382600,356800,1042.49,76.739,0.959,3895.09,nano
nano_lighttpd_c_1_90,lighttpd/1.4.33,54.187.178.32,3568,90,0.106,100,0,382600,356800,939.88,95.756,1.064,3511.72,nano
nano_lighttpd_c_2_10,lighttpd/1.4.33,54.187.178.32,3568,10,0.084,100,0,382600,356800,1183.64,8.449,0.845,4422.48,nano
